card_id,verb_id,verb,tense_id,tense,person_id,person_grammatical,person_display,hypothetical_regular_form,conjugated_verb,regular,sentence,sentence_with_cloze
3_9_12,3,estar,9,∿ subjuntivo presente ∿,12,1st_plural,nosotros,,,,,
3_9_32,3,estar,9,∿ subjuntivo presente ∿,32,3rd_plural,ellos/ellas,,,,,
3_10_11,3,estar,10,↫ subjuntivo imperfecto ↫,11,1st_singular,yo,,,,,
3_10_21,3,estar,10,↫ subjuntivo imperfecto ↫,21,2nd_singular,tú,,,,,
3_10_31,3,estar,10,↫ subjuntivo imperfecto ↫,31,3rd_singular,él/ella,,,,,
3_10_12,3,estar,10,↫ subjuntivo imperfecto ↫,12,1st_plural,nosotros,,,,,
3_10_32,3,estar,10,↫ subjuntivo imperfecto ↫,32,3rd_plural,ellos/ellas,,,,,
3_11_21,3,estar,11,¡ imperativo afirmativo !,21,2nd_singular,tú,,,,,
3_11_33,3,estar,11,¡ imperativo afirmativo !,33,2nd_singular_polite,usted,,,,,
3_11_12,3,estar,11,¡ imperativo afirmativo !,12,1st_plural,nosotros,,,,,
3_11_34,3,estar,11,¡ imperativo afirmativo !,34,2nd_plural_polite,ustedes,,,,,
3_12_21,3,estar,12,¡ imperativo negativo !,21,2nd_singular,tú,,,,,
3_12_33,3,estar,12,¡ imperativo negativo !,33,2nd_singular_polite,usted,,,,,
3_12_12,3,estar,12,¡ imperativo negativo !,12,1st_plural,nosotros,,,,,
3_12_34,3,estar,12,¡ imperativo negativo !,34,2nd_plural_polite,ustedes,,,,,
4_1_0,4,tener,1,infinitivo,0,NA,NA,tener,tener,TRUE,,
4_2_0,4,tener,2,gerundio,0,NA,NA,teniendo,,,,
4_3_0,4,tener,3,participio,0,NA,NA,tenido,,,,
4_4_11,4,tener,4,⊙ indicativo presente ⊙,11,1st_singular,yo,teno,,,,
4_4_21,4,tener,4,⊙ indicativo presente ⊙,21,2nd_singular,tú,tenes,,,,
4_4_31,4,tener,4,⊙ indicativo presente ⊙,31,3rd_singular,él/ella,tene,,,,
4_4_12,4,tener,4,⊙ indicativo presente ⊙,12,1st_plural,nosotros,tenemos,,,,
4_4_32,4,tener,4,⊙ indicativo presente ⊙,32,3rd_plural,ellos/ellas,tenen,,,,
4_5_11,4,tener,5,⇠ indicativo imperfecto ⇠,11,1st_singular,yo,tenía,,,,
4_5_21,4,tener,5,⇠ indicativo imperfecto ⇠,21,2nd_singular,tú,tenías,,,,
4_5_31,4,tener,5,⇠ indicativo imperfecto ⇠,31,3rd_singular,él/ella,tenía,,,,
4_5_12,4,tener,5,⇠ indicativo imperfecto ⇠,12,1st_plural,nosotros,teníamos,,,,
4_5_32,4,tener,5,⇠ indicativo imperfecto ⇠,32,3rd_plural,ellos/ellas,tenían,,,,
4_6_11,4,tener,6,↧ indicativo pretérito ↧,11,1st_singular,yo,tení,,,,
4_6_21,4,tener,6,↧ indicativo pretérito ↧,21,2nd_singular,tú,teniste,,,,
4_6_31,4,tener,6,↧ indicativo pretérito ↧,31,3rd_singular,él/ella,tenió,,,,
4_6_12,4,tener,6,↧ indicativo pretérito ↧,12,1st_plural,nosotros,tenimos,,,,
4_6_32,4,tener,6,↧ indicativo pretérito ↧,32,3rd_plural,ellos/ellas,tenieron,,,,
4_7_11,4,tener,7,→ indicativo futuro →,11,1st_singular,yo,teneré,,,,
4_7_21,4,tener,7,→ indicativo futuro →,21,2nd_singular,tú,tenerás,,,,
4_7_31,4,tener,7,→ indicativo futuro →,31,3rd_singular,él/ella,tenerá,,,,
4_7_12,4,tener,7,→ indicativo futuro →,12,1st_plural,nosotros,teneremos,,,,
4_7_32,4,tener,7,→ indicativo futuro →,32,3rd_plural,ellos/ellas,tenerán,,,,
4_8_11,4,tener,8,◇ condicional ◇,11,1st_singular,yo,,,,,
4_8_21,4,tener,8,◇ condicional ◇,21,2nd_singular,tú,,,,,
4_8_31,4,tener,8,◇ condicional ◇,31,3rd_singular,él/ella,,,,,
4_8_12,4,tener,8,◇ condicional ◇,12,1st_plural,nosotros,,,,,
4_8_32,4,tener,8,◇ condicional ◇,32,3rd_plural,ellos/ellas,,,,,
4_9_11,4,tener,9,∿ subjuntivo presente ∿,11,1st_singular,yo,,,,,
4_9_21,4,tener,9,∿ subjuntivo presente ∿,21,2nd_singular,tú,,,,,
4_9_31,4,tener,9,∿ subjuntivo presente ∿,31,3rd_singular,él/ella,,,,,
4_9_12,4,tener,9,∿ subjuntivo presente ∿,12,1st_plural,nosotros,,,,,
4_9_32,4,tener,9,∿ subjuntivo presente ∿,32,3rd_plural,ellos/ellas,,,,,
4_10_11,4,tener,10,↫ subjuntivo imperfecto ↫,11,1st_singular,yo,,,,,
4_10_21,4,tener,10,↫ subjuntivo imperfecto ↫,21,2nd_singular,tú,,,,,
4_10_31,4,tener,10,↫ subjuntivo imperfecto ↫,31,3rd_singular,él/ella,,,,,
4_10_12,4,tener,10,↫ subjuntivo imperfecto ↫,12,1st_plural,nosotros,,,,,
4_10_32,4,tener,10,↫ subjuntivo imperfecto ↫,32,3rd_plural,ellos/ellas,,,,,
4_11_21,4,tener,11,¡ imperativo afirmativo !,21,2nd_singular,tú,,,,,
4_11_33,4,tener,11,¡ imperativo afirmativo !,33,2nd_singular_polite,usted,,,,,
4_11_12,4,tener,11,¡ imperativo afirmativo !,12,1st_plural,nosotros,,,,,
4_11_34,4,tener,11,¡ imperativo afirmativo !,34,2nd_plural_polite,ustedes,,,,,
